services,date,time,ride_status,source,destination,duration,ride_id,distance,ride_charge,misc_charge,total_fare,payment_method
bike lite,2024-07-22,11:40:20,cancelled,HSR Layout Sector 1 North,Jayanagar 10th Block East,110,RD9579696213202128,48.33,,,,
cab premium,2024-07-05,04:46:20,completed,MG Road South,HSR Layout Sector 2,92,RD9767640362607936,32.23,685.81,37.13,722.9399999999999,QR scan
bike,2024-07-01,15:27:20,completed,Malleshwaram West,Jayanagar 7th Block East,86,RD9707917509379689,32.17,260.05,29.05,289.1,Cash
parcel,2024-07-18,05:39:20,completed,Cubbon Park,Electronic City,41,RD4622901329566136,21.6,601.28,21.24,622.52,phonePy
cab premium,2024-07-02,14:33:20,completed,HSR Layout Sector 1,Rajajinagar 2nd Block,70,RD1364943926775086,19.12,42.51,40.61,83.12,phonePy
cab economy,2024-07-18,15:04:20,completed,Brigade Road Central,Whitefield Kadugodi,56,RD3683006314440996,24.58,954.95,46.99,1001.94,Amazon Pay
cab premium,2024-07-14,11:52:20,cancelled,Nandini Layout,Electronic City North,46,RD6113841234565428,7.03,,,,
auto,2024-06-27,08:30:20,cancelled,Hebbal Sanjay Nagar,Cubbon Road,88,RD2309103521857446,48.26,,,,
auto share,2024-07-12,14:13:20,completed,Jayanagar 1st Block East,Hebbal Amruthahalli,23,RD7576183379172339,26.88,35.45,42.02,77.47,phonePy
parcel,2024-07-14,23:51:20,completed,Hebbal West,Bagmane Tech Park,74,RD1765474096056210,37.1,278.23,6.88,285.11,Amazon Pay
auto share,2024-07-23,18:13:20,completed,Hebbal Kodigehalli,Malleshwaram Central,113,RD2750042274040707,43.76,678.36,2.85,681.21,GPay
auto,2024-07-23,15:59:20,cancelled,Marathahalli South,Mysore Road,16,RD7097784882158314,25.08,,,,
cab premium,2024-07-22,08:13:20,cancelled,Whitefield Mahadevapura,Benson Town,29,RD9330572703604137,49.83,,,,
auto share,2024-06-30,18:01:20,cancelled,Malleshwaram East,JP Nagar Phase 4,69,RD5621167601966096,46.31,,,,
auto,2024-06-29,16:38:20,completed,Tumkur Road,HSR Layout Sector 1 South,91,RD4939437906902098,9.9,533.19,37.0,570.19,Amazon Pay
parcel,2024-07-05,19:29:20,cancelled,Indiranagar 10th Stage,MG Road East,49,RD8377076107495001,15.72,,,,
auto share,2024-07-16,00:47:20,cancelled,Whitefield South,Malleshwaram 9th Block,56,RD9870892921308660,9.75,,,,
auto,2024-07-04,12:11:20,completed,Marathahalli Outer Ring Road,Brigade Road Brigade Gateway,7,RD9255191238143384,13.79,304.78,0.57,305.34999999999997,Cash
cab economy,2024-07-19,05:14:20,cancelled,HSR Layout East,HSR Layout Sector 8 North,10,RD7500862766017883,34.88,,,,
bike,2024-07-01,20:11:20,completed,Hennur,Sahakar Nagar,52,RD3297014504515143,12.66,58.62,27.3,85.92,phonePy
cab premium,2024-06-25,14:25:20,completed,HSR Layout Sector 3 South,MG Road,101,RD6498475627692399,16.45,361.31,9.07,370.38,Cash
cab premium,2024-06-23,22:38:20,completed,Electronic City South,Bagmane Tech Park,80,RD4646954072664313,38.04,20.12,23.03,43.150000000000006,Paytm
cab economy,2024-07-15,12:21:20,cancelled,Malleshwaram East,Electronic City North,111,RD4014401250688676,47.38,,,,
cab economy,2024-07-06,08:52:20,completed,HSR Layout Sector 10,Banashankari 4th Stage,8,RD1359924942175777,40.36,568.03,15.21,583.24,Paytm
parcel,2024-06-27,21:41:20,completed,Seshadripuram,St. Marks Road,91,RD9206942048101038,19.67,441.95,44.8,486.75,Amazon Pay
bike,2024-06-30,18:27:20,completed,HSR Layout Sector 7 North,Banashankari 2nd Stage,43,RD8080497692474474,26.01,789.43,14.72,804.15,QR scan
cab premium,2024-07-18,11:02:20,completed,HSR Layout East,Lingarajapuram,85,RD5852844701679621,19.34,221.55,24.38,245.93,phonePy
cab premium,2024-07-15,11:55:20,cancelled,Hebbal Dasarahalli,Marathahalli Outer Ring Road,81,RD8667438926656362,1.36,,,,
parcel,2024-07-22,01:07:20,cancelled,Lalbagh,Shivajinagar,23,RD2926275220290988,42.2,,,,
auto share,2024-07-13,02:04:20,completed,MG Road Naga Theatre,MG Road Anil Kumble Circle,104,RD4149130367477852,37.44,85.33,20.29,105.62,QR scan
bike lite,2024-07-11,04:04:20,cancelled,Indiranagar West,Chikpet,20,RD6293855168680772,20.64,,,,
bike lite,2024-07-23,06:05:20,cancelled,HSR Layout Sector 9,Brigade Road Eva Mall,21,RD9479730256120633,7.4,,,,
auto share,2024-07-23,01:13:20,completed,Sahakar Nagar,Whitefield Varthur Road,6,RD1956860762671574,43.4,260.92,33.45,294.37,GPay
bike,2024-06-25,09:56:20,completed,MG Road Central,HSR Layout Sector 3 North,30,RD8619754090655425,33.28,419.45,30.36,449.81,QR scan
cab economy,2024-06-23,08:07:20,completed,HSR Layout Central,Banashankari 2nd Stage,117,RD4471607478614007,47.84,809.07,39.49,848.5600000000001,Paytm
cab premium,2024-06-30,02:26:20,completed,Queens Road,Hebbal Sanjay Nagar,24,RD2260749230836542,42.55,571.52,41.39,612.91,GPay
bike,2024-06-27,14:26:20,completed,Koramangala West,Bagmane Tech Park,27,RD5628054181919567,26.4,716.76,31.49,748.25,Paytm
cab premium,2024-07-22,18:36:20,completed,Indiranagar 6th Stage,Koramangala South,56,RD2811390445720417,25.53,420.01,19.88,439.89,Amazon Pay
cab premium,2024-06-30,09:44:20,cancelled,Basaveshwaranagar,Banashankari 5th Stage,90,RD5035873264866468,12.49,,,,
auto,2024-07-05,20:12:20,completed,Lalbagh,Brigade Road South,67,RD8527847592178610,44.37,768.4,7.85,776.25,GPay
parcel,2024-06-27,02:25:20,cancelled,Indiranagar 9th Stage,Koramangala 8th Block,76,RD7814530526953582,35.01,,,,
cab premium,2024-07-01,04:19:20,cancelled,HSR Layout Sector 5 North,Malleshwaram 6th Block,31,RD8187686646175611,20.06,,,,
auto,2024-07-07,12:28:20,cancelled,HSR Layout Sector 1 North,JP Nagar 8th Phase,93,RD8289104361453375,3.77,,,,
bike lite,2024-07-20,22:08:20,completed,HSR Layout Sector 8 North,JP Nagar Phase 7,106,RD9318037941168026,5.93,114.16,49.75,163.91,QR scan
auto,2024-07-04,15:09:20,completed,HSR Layout Sector 1 North,Electronic City West,88,RD1440263828932648,6.85,85.74,21.96,107.69999999999999,QR scan
auto,2024-06-29,03:39:20,cancelled,Banashankari 7th Stage,HSR Layout Sector 3,29,RD9679429443382803,38.56,,,,
parcel,2024-07-12,03:04:20,completed,MG Road Cubbon Park,Richmond Town,44,RD5895933444339255,36.28,12.26,11.93,24.189999999999998,Amazon Pay
parcel,2024-06-25,03:36:20,completed,BTM Layout 1st Stage,Jayanagar 2nd Block,46,RD8145700103456030,35.99,149.14,6.81,155.95,Cash
bike,2024-07-10,12:09:20,cancelled,JP Nagar Phase 2,Banashankari 4th Stage,10,RD3374045169409193,3.66,,,,
auto share,2024-07-22,17:33:20,cancelled,Marathahalli Central,Banashankari 3rd Stage,21,RD5464891639710314,21.69,,,,
cab premium,2024-07-20,21:31:20,completed,Bagmane Tech Park,Indiranagar 2nd Stage,110,RD5626355717728844,7.05,891.85,37.83,929.6800000000001,GPay
cab economy,2024-07-13,07:45:20,cancelled,Avenue Road,HSR Layout Sector 4,25,RD1407410883322527,40.88,,,,
auto share,2024-07-07,06:08:20,cancelled,BTM Layout 3rd Stage,Rajajinagar 3rd Block,38,RD9603871132187001,1.06,,,,
bike,2024-07-09,09:01:20,cancelled,JP Nagar 2nd Phase,Tumkur Road,61,RD5914628972365523,48.35,,,,
bike,2024-07-19,12:41:20,completed,HSR Layout Sector 4,Indiranagar North,52,RD9722962699964010,11.31,764.95,24.03,788.98,Paytm
cab economy,2024-06-28,15:02:20,completed,JP Nagar 3rd Phase,JP Nagar Phase 1,11,RD9026726388342950,6.51,974.79,44.23,1019.02,Cash
bike lite,2024-07-15,06:01:20,cancelled,Jayanagar 6th Block,Brigade Road Mayo Hall,94,RD2312153313262970,25.37,,,,
bike lite,2024-06-23,20:33:20,cancelled,Indiranagar West,Brigade Road East,54,RD6930840579462914,8.41,,,,
auto,2024-07-23,05:31:20,cancelled,Banashankari 3rd Stage,Panathur,25,RD2642888944152921,18.52,,,,
cab premium,2024-07-01,08:29:20,cancelled,Varthur,Banashankari 1st Stage,18,RD2745499190625662,1.45,,,,
cab economy,2024-06-28,04:06:20,cancelled,Indiranagar South,HSR Layout Sector 4 South,41,RD1350194314122793,33.13,,,,
cab economy,2024-06-28,02:18:20,cancelled,MG Road Naga Theatre,Lavelle Road,25,RD4550850314610892,49.53,,,,
bike,2024-07-19,05:12:20,completed,Avenue Road,Whitefield Channasandra,8,RD1228719899447132,17.85,611.87,27.6,639.47,Amazon Pay
cab economy,2024-07-18,18:00:20,cancelled,Malleshwaram 2nd Block,MG Road Central,104,RD7022559086268006,18.32,,,,
cab premium,2024-07-13,12:52:20,cancelled,Brigade Road Brigade Gateway,Rajajinagar 2nd Block,88,RD1136624592876383,13.14,,,,
bike lite,2024-07-02,21:19:20,completed,HSR Layout Sector 1 South,Rajajinagar 8th Block,52,RD3735145426545194,44.33,402.58,16.83,419.40999999999997,phonePy
cab economy,2024-06-25,20:59:20,completed,Queens Road,HSR Layout Central,64,RD1589344619900666,4.64,293.88,42.5,336.38,Cash
cab premium,2024-06-27,15:55:20,completed,HSR Layout Sector 8 North,Malleshwaram 5th Block,89,RD9545654437484468,40.14,536.92,40.53,577.4499999999999,GPay
cab economy,2024-06-27,23:55:20,completed,MG Road Mayo Hall,HSR Layout East,86,RD8930228058839947,31.64,207.19,5.49,212.68,GPay
auto share,2024-07-13,15:22:20,cancelled,Marathahalli Central,Whitefield Varthur Road,30,RD1134582199355570,46.72,,,,
auto share,2024-07-15,15:21:20,cancelled,Nandini Layout,JP Nagar,97,RD6853354577603460,35.52,,,,
auto share,2024-07-09,07:13:20,cancelled,Cubbon Park,Basavanagudi,20,RD7477394919455874,38.03,,,,
bike lite,2024-07-18,05:13:20,cancelled,Vijayanagar,JP Nagar Phase 2,113,RD7135458727249170,7.13,,,,
bike lite,2024-07-21,00:46:20,completed,Ulsoor,Brigade Road East,81,RD1880708059913277,13.81,93.31,44.14,137.45,GPay
cab economy,2024-07-08,19:09:20,completed,Banashankari 1st Stage,Marathahalli West,45,RD7682707117553893,39.13,816.67,41.0,857.67,QR scan
cab premium,2024-07-22,16:40:20,cancelled,Marathahalli South,MG Road South,100,RD1395041105397338,34.36,,,,
cab economy,2024-07-09,07:21:20,cancelled,Vignan Nagar,Banashankari 3rd Stage,10,RD2145811178043841,18.05,,,,
cab premium,2024-06-28,00:42:20,cancelled,Rajajinagar 8th Block,Brigade Road East,79,RD5399224908920899,34.19,,,,
parcel,2024-07-03,10:55:20,completed,MG Road North,JP Nagar 8th Phase,12,RD9060492398065802,3.88,577.74,12.12,589.86,Paytm
cab economy,2024-06-26,08:50:20,cancelled,JP Nagar Phase 6,HSR Layout Sector 4 South,35,RD7489025124241917,40.9,,,,
bike,2024-07-23,04:52:20,completed,HSR Layout South,Rajajinagar 3rd Block,28,RD1105231163855344,34.43,848.92,41.15,890.0699999999999,phonePy
auto,2024-06-25,22:39:20,cancelled,RT Nagar,HSR Layout Sector 5,29,RD7821423444613654,46.19,,,,
cab economy,2024-06-28,05:09:20,cancelled,HAL,Rajajinagar 8th Block,82,RD7273454871547641,45.17,,,,
cab premium,2024-07-17,21:54:20,cancelled,MG Road South,Jayanagar 8th Block East,50,RD3321336414413847,21.88,,,,
bike lite,2024-06-26,17:12:20,cancelled,Malleshwaram West,Banashankari 2nd Stage,72,RD9624893568343521,36.48,,,,
parcel,2024-07-03,07:55:20,completed,HSR Layout Sector 6 South,Electronic City West,67,RD5726406892194990,40.2,555.7,21.72,577.4200000000001,Cash
cab economy,2024-07-08,04:17:20,completed,HSR Layout Sector 10 South,KR Puram,107,RD3871939449539135,28.69,843.56,2.87,846.43,phonePy
cab economy,2024-07-15,02:51:20,completed,Koramangala 8th Block,Lingarajapuram,13,RD8973969899664425,42.39,34.7,35.6,70.30000000000001,phonePy
auto share,2024-07-08,04:08:20,completed,Kengeri,Jayanagar 2nd Block,69,RD9888315471197193,11.08,135.82,9.26,145.07999999999998,phonePy
parcel,2024-07-17,02:21:20,cancelled,HSR Layout West,Malleshwaram 9th Block,81,RD1599152651047141,49.7,,,,
parcel,2024-07-14,01:58:20,completed,Jayanagar 4th Block East,Banashankari 6th Stage,34,RD7174351879120735,16.44,396.88,7.55,404.43,Paytm
auto share,2024-07-19,04:56:20,cancelled,Indiranagar 8th Stage,MG Road South,19,RD2409672468088636,4.4,,,,
auto share,2024-07-12,14:28:20,completed,Magadi Road,Basaveshwaranagar,79,RD5662720696352055,29.2,252.67,23.9,276.57,GPay
cab premium,2024-07-11,17:37:20,cancelled,MG Road Trinity Circle,Whitefield Borewell Road,79,RD4626105997324197,21.61,,,,
auto share,2024-07-07,09:34:20,completed,Cox Town,Jayanagar 2nd Block East,38,RD2842573033935396,8.71,506.41,12.9,519.3100000000001,Amazon Pay
bike lite,2024-07-07,16:56:20,cancelled,JP Nagar Phase 3,BTM Layout 4th Stage,78,RD3330363480926767,17.5,,,,
cab premium,2024-06-25,08:05:20,completed,Benson Town,JP Nagar North,103,RD4807754660010531,11.42,249.59,27.01,276.6,QR scan
bike,2024-07-15,11:34:20,completed,Koramangala 6th Block,HSR Layout Sector 4 South,51,RD1253357970584115,3.87,596.37,40.04,636.41,QR scan
bike lite,2024-07-15,19:29:20,cancelled,Koramangala 7th Block,Vignan Nagar,102,RD4823691298315719,29.26,,,,
bike,2024-07-16,15:05:20,completed,Jayanagar 1st Block,HSR Layout Sector 10 North,116,RD4761929934253643,31.17,383.92,0.28,384.2,QR scan
bike,2024-07-02,12:21:20,cancelled,Malleshwaram North,Banashankari 6th Stage,53,RD8682127827018191,6.05,,,,
parcel,2024-07-21,21:35:20,completed,Jayanagar 1st Block East,Hennur,19,RD5266980642473781,14.08,407.21,14.3,421.51,GPay
auto,2024-07-01,10:26:20,cancelled,Basaveshwaranagar,Whitefield Hope Farm Junction,108,RD9120490147132656,28.47,,,,
auto share,2024-07-17,17:13:20,cancelled,JP Nagar Phase 3,Avenue Road,108,RD2373755078797617,7.13,,,,
cab premium,2024-07-22,07:28:20,completed,Indiranagar,JP Nagar Phase 6,66,RD1400293274395591,26.78,596.07,40.1,636.1700000000001,Paytm
bike,2024-06-30,13:30:20,cancelled,Indiranagar 9th Stage,Brigade Road Residency Road,63,RD2959715379472670,37.98,,,,
parcel,2024-07-15,23:34:20,cancelled,Malleshwaram Central,Doddanekundi,96,RD4309139373523655,36.64,,,,
parcel,2024-06-26,23:39:20,cancelled,Yelahanka,Whitefield Hope Farm Junction,59,RD8979412187631227,21.85,,,,
auto share,2024-07-18,05:12:20,completed,Rajajinagar 5th Block,Queens Road,56,RD3489585458668457,39.23,744.59,45.77,790.36,GPay
auto,2024-07-03,10:45:20,completed,Vasanth Nagar,Brigade Road North,48,RD7110830147560300,9.32,350.59,2.06,352.65,phonePy
auto share,2024-07-17,17:22:20,cancelled,JP Nagar Phase 6,MG Road Naga Theatre,110,RD9048253960043623,2.09,,,,
bike,2024-07-14,23:36:20,completed,Banashankari 8th Stage,HSR Layout Sector 4,62,RD7598868712698385,24.53,419.72,43.31,463.03000000000003,Paytm
auto share,2024-07-02,22:44:20,cancelled,Jayanagar 5th Block,Cunningham Road,59,RD6646595966773312,11.21,,,,
cab economy,2024-07-03,20:31:20,completed,Kammanahalli,Bellandur,15,RD8202968842170195,29.07,177.96,37.1,215.06,Paytm
bike lite,2024-07-08,18:01:20,cancelled,Koramangala South,Banashankari 8th Stage,74,RD7811054546371769,44.18,,,,
parcel,2024-07-08,08:36:20,cancelled,HSR Layout Sector 3 South,Vidyaranyapura,48,RD4364921493565920,29.41,,,,
cab premium,2024-06-29,10:12:20,cancelled,Malleshwaram 6th Block,Whitefield Kadugodi,63,RD7439577458839186,47.75,,,,
cab economy,2024-06-29,21:06:20,cancelled,MG Road Anil Kumble Circle,Banashankari 4th Stage,7,RD1808988209448419,15.73,,,,
cab economy,2024-07-04,19:34:20,cancelled,HSR Layout Sector 2 North,Chikpet,120,RD7242226156401816,39.55,,,,
auto,2024-07-10,01:42:20,completed,Brigade Road Eva Mall,Commercial Street,111,RD9061355890767385,43.77,494.14,48.75,542.89,Paytm
parcel,2024-06-27,00:44:20,completed,Malleshwaram East,MG Road Anil Kumble Circle,23,RD5236503971102979,37.06,880.52,18.6,899.12,Amazon Pay
bike,2024-07-14,08:10:20,cancelled,Seshadripuram,Lingarajapuram,5,RD9253307679997823,38.54,,,,
bike lite,2024-06-28,00:22:20,cancelled,Jayanagar 4th Block East,Whitefield Central,100,RD8301345055985230,33.43,,,,
auto share,2024-07-17,13:07:20,cancelled,HSR Layout Sector 2 South,Brigade Road East,17,RD9475134449377225,36.59,,,,
bike lite,2024-07-23,10:49:20,cancelled,Whitefield Kadugodi,HSR Layout Sector 2,109,RD9038667787477379,4.58,,,,
auto,2024-07-06,04:35:20,completed,HSR Layout Sector 6 South,Indiranagar 7th Stage,99,RD8612509665858926,26.73,864.17,49.2,913.37,Cash
cab premium,2024-07-17,20:38:20,cancelled,Jayanagar 9th Block East,Koramangala 5th Block,109,RD4235113512436919,44.09,,,,
bike lite,2024-07-02,12:10:20,completed,Indiranagar 5th Stage,Nandi Hills,85,RD6743858983987771,45.77,935.78,45.47,981.25,QR scan
auto,2024-07-11,15:07:20,cancelled,JP Nagar 1st Phase,JP Nagar 7th Phase,49,RD2911737094344922,22.97,,,,
bike lite,2024-07-07,21:03:20,completed,Malleshwaram North,Banashankari 5th Stage,33,RD4199127911932873,49.28,684.36,47.43,731.79,Cash
bike lite,2024-07-08,12:55:20,cancelled,HSR Layout Sector 3,MG Road,36,RD5889482819811116,49.2,,,,
parcel,2024-07-23,14:56:20,cancelled,HSR Layout Sector 10,Whitefield Varthur Road,99,RD5215206179415402,33.77,,,,
bike,2024-07-15,02:25:20,cancelled,JP Nagar Phase 10,Jayanagar,92,RD4709756609477165,42.97,,,,
parcel,2024-07-10,11:23:20,completed,Indiranagar 9th Stage,Yeshwanthpur,117,RD8248855692018923,21.04,722.12,10.57,732.69,Cash
bike lite,2024-07-16,06:25:20,cancelled,Brigade Road East,BTM Layout 2nd Stage,28,RD3017639138745317,44.84,,,,
cab premium,2024-07-14,23:26:20,completed,JP Nagar Phase 4,JP Nagar Phase 1,36,RD6201608303079214,40.18,359.71,44.04,403.75,Amazon Pay
bike,2024-06-23,05:08:20,completed,JP Nagar Phase 8,MG Road Garuda Mall,13,RD4179911592194618,1.36,151.8,6.34,158.14000000000001,Cash
auto,2024-07-10,22:12:20,completed,Marathahalli South,Banashankari 3rd Stage,106,RD6435737015679313,40.15,689.15,6.85,696.0,Paytm
cab economy,2024-06-24,08:58:20,completed,Malleshwaram 6th Block,Rajajinagar 1st Block,73,RD7842526117013352,41.65,730.98,46.36,777.34,QR scan
auto,2024-07-08,03:24:20,cancelled,HSR Layout Sector 4,Indiranagar 3rd Stage,54,RD8981767926724021,21.54,,,,
parcel,2024-07-05,22:54:20,completed,Basaveshwara Nagar,Koramangala East,32,RD7182971050261562,23.81,321.38,33.9,355.28,QR scan
auto share,2024-07-06,21:34:20,completed,Rajajinagar 6th Block,BTM Layout 4th Stage,92,RD4978786818550115,48.49,117.94,25.44,143.38,GPay
bike lite,2024-06-30,02:29:20,completed,Koramangala 3rd Block,HSR Layout Sector 3,119,RD6304814691574469,17.55,888.58,44.66,933.24,Cash
cab economy,2024-06-30,11:50:20,completed,Whitefield Borewell Road,Indiranagar 7th Stage,80,RD3366712737780436,25.96,816.76,34.96,851.72,GPay
cab economy,2024-06-25,07:51:20,completed,Hoskote,MG Road Trinity Circle,43,RD6003871203331958,27.01,593.98,7.51,601.49,QR scan
bike,2024-06-28,17:43:20,cancelled,Nandini Layout,Kadubeesanahalli,25,RD4580212655638584,45.27,,,,
cab premium,2024-07-23,19:27:20,cancelled,Indiranagar West,Banashankari,22,RD7922943420461530,41.88,,,,
bike lite,2024-07-06,18:03:20,completed,HSR Layout Sector 6,Hebbal Sanjay Nagar,41,RD2128997770230229,27.67,616.71,5.66,622.37,Paytm
parcel,2024-07-17,13:14:20,completed,Whitefield Borewell Road,Marathahalli Outer Ring Road,18,RD5395479629643219,17.12,624.84,35.29,660.13,QR scan
auto share,2024-07-18,23:54:20,completed,Malleshwaram 6th Block,Malleshwaram Central,88,RD4282877127104340,19.44,376.37,49.06,425.43,QR scan
bike lite,2024-07-20,23:32:20,cancelled,Anand Nagar,Jayanagar 3rd Block,26,RD2162486851829595,3.38,,,,
cab premium,2024-07-11,05:04:20,completed,Jayanagar 9th Block,Whitefield North,37,RD1664846412085591,27.93,145.01,25.96,170.97,phonePy
cab premium,2024-07-15,09:56:20,cancelled,Jayanagar 7th Block East,Hebbal,11,RD6334122059787278,28.16,,,,
bike,2024-07-08,07:47:20,cancelled,Rajajinagar 1st Block,Malleshwaram 8th Block,55,RD4595940003436099,37.57,,,,
bike lite,2024-07-05,03:23:20,cancelled,Chamarajpet,Rajajinagar 3rd Block,68,RD2361058433432815,10.84,,,,
parcel,2024-06-24,08:22:20,completed,MG Road Central,Hebbal Kodigehalli,99,RD6606232023710499,29.33,533.41,35.51,568.92,QR scan
auto share,2024-07-10,14:46:20,cancelled,MG Road Central,Yelahanka New Town,82,RD5328438218305092,16.7,,,,
auto,2024-07-09,19:14:20,cancelled,JP Nagar Phase 7,Cunningham Road,116,RD2665259995832679,47.72,,,,
bike lite,2024-07-08,03:58:20,cancelled,Malleshwaram 5th Block,Banashankari 6th Stage,23,RD7474264285731673,11.2,,,,
bike,2024-07-20,22:03:20,completed,Hebbal Kempapura,Electronic City,80,RD2455691637150791,43.84,386.31,22.93,409.24,GPay
cab premium,2024-06-28,15:27:20,completed,Malleshwaram 10th Block,Rajajinagar,106,RD7289105261348712,9.02,697.46,29.18,726.64,GPay
bike lite,2024-06-24,20:19:20,cancelled,Manyata Tech Park,Whitefield East,78,RD6410596737269852,5.04,,,,
cab premium,2024-06-27,09:26:20,cancelled,Banashankari 3rd Stage,Banashankari 6th Stage,56,RD3791805688084101,33.06,,,,
bike lite,2024-07-21,04:46:20,cancelled,MG Road West,Electronic City Phase 3,42,RD9707478381221835,5.32,,,,
bike,2024-07-01,19:48:20,cancelled,Jayanagar 10th Block,Kempapura,108,RD7804075209144488,32.64,,,,
cab economy,2024-07-04,19:25:20,completed,Jayanagar 1st Block,Indiranagar 7th Stage,49,RD5252282075683713,17.69,176.39,42.4,218.79,QR scan
bike lite,2024-07-20,15:01:20,completed,Whitefield Channasandra,Jayanagar 10th Block,23,RD7365000520971331,31.24,19.0,35.66,54.66,Amazon Pay
cab premium,2024-07-17,10:15:20,completed,Shivajinagar,HSR Layout Sector 3,18,RD8931826045950443,33.5,698.75,22.83,721.58,Cash
auto,2024-07-19,14:17:20,completed,Nagarbhavi 2nd Stage,MG Road Mayo Hall,73,RD9533764033722889,21.49,583.72,14.27,597.99,phonePy
bike lite,2024-07-13,22:47:20,completed,Magadi Road,HSR Layout Sector 1,30,RD1069260453048838,19.68,927.9,43.66,971.56,QR scan
auto share,2024-07-03,02:16:20,cancelled,Bannerghatta Road,HSR Layout,92,RD7216783597031616,36.7,,,,
parcel,2024-06-26,18:02:20,completed,Koramangala South,Ashok Nagar,90,RD5574335024344111,18.08,893.53,11.85,905.38,Paytm
bike lite,2024-07-02,18:59:20,completed,Marathahalli Central,Marathahalli Colony,82,RD4608006823031589,31.09,982.59,0.78,983.37,Cash
cab premium,2024-07-01,01:51:20,completed,Rajajinagar 2nd Block,Marathahalli Colony,10,RD5621694384242714,22.64,656.12,47.16,703.28,phonePy
cab premium,2024-07-02,21:03:20,cancelled,MG Road Mahatma Gandhi Road,Brigade Road West,38,RD7137775728348351,39.07,,,,
cab economy,2024-07-21,09:07:20,cancelled,Murphy Town,HSR Layout Sector 5 South,65,RD7206204525984664,18.9,,,,
parcel,2024-07-05,18:19:20,completed,Malleshwaram,Jayanagar 6th Block East,115,RD3137908939692326,29.43,430.66,36.45,467.11,Amazon Pay
bike,2024-07-22,16:35:20,completed,Yeshwanthpur,Basavanagudi,53,RD4273607039755948,15.32,827.23,14.63,841.86,Paytm
bike lite,2024-07-09,00:55:20,completed,Marathahalli Main Road,Chamarajpet,86,RD1399730431683308,35.59,529.97,45.02,574.99,phonePy
parcel,2024-07-08,02:40:20,completed,HSR Layout Sector 4 North,Marathahalli Bridge,103,RD6724822326737487,7.75,454.06,24.08,478.14,phonePy
parcel,2024-07-22,10:38:20,completed,JP Nagar South,Brigade Road Residency Road,26,RD9650358663429099,26.67,357.33,9.3,366.63,QR scan
bike lite,2024-07-08,07:50:20,cancelled,BTM Layout 2nd Stage,Hebbal Vidyaranyapura,90,RD4555961779285736,7.59,,,,
bike lite,2024-06-23,07:53:20,cancelled,Koramangala 8th Block,Whitefield Hope Farm Junction,70,RD5914233944748150,36.07,,,,
cab economy,2024-06-24,12:53:20,cancelled,Electronic City Phase 1,Banashankari 2nd Stage,14,RD4001841863226396,9.86,,,,
cab economy,2024-06-25,07:23:20,completed,JP Nagar Phase 9,Indiranagar 6th Stage,105,RD3213673948465930,2.33,47.18,25.74,72.92,GPay
parcel,2024-06-24,16:08:20,completed,Jayanagar 5th Block East,Kengeri,36,RD4071479038800566,9.24,904.42,39.34,943.76,phonePy
cab premium,2024-06-23,10:57:20,completed,Jayanagar 4th Block East,Rajajinagar 5th Block,110,RD8184340563886453,32.74,461.9,49.59,511.49,Cash
auto,2024-06-27,08:14:20,completed,Jayanagar 9th Block,Brigade Road Residency Road,23,RD9476737253785786,40.08,275.96,25.91,301.87,phonePy
bike lite,2024-06-27,20:57:20,completed,Hennur,BTM Layout 1st Stage,75,RD8348660926485063,27.61,575.05,44.63,619.68,phonePy
parcel,2024-06-27,13:12:20,cancelled,Majestic,HSR Layout Sector 6,25,RD7108623188714010,39.35,,,,
auto share,2024-06-25,06:33:20,completed,Marathahalli South,Hebbal Kodigehalli,62,RD1872942710161881,47.04,526.95,9.59,536.5400000000001,QR scan
parcel,2024-07-09,10:39:20,completed,Marathahalli Main Road,Banashankari,92,RD8048588541563532,42.48,640.07,11.2,651.2700000000001,QR scan
auto share,2024-07-18,06:09:20,cancelled,Banashankari,Indiranagar 7th Stage,101,RD9656211435343392,48.13,,,,
cab premium,2024-06-26,01:59:20,cancelled,HSR Layout Sector 6,Indiranagar South,104,RD2533184329622912,33.22,,,,
auto share,2024-07-02,05:20:20,completed,Seshadripuram,Electronic City North,84,RD9177620636114895,27.1,52.25,3.17,55.42,QR scan
cab premium,2024-07-21,04:58:20,completed,MG Road Naga Theatre,JP Nagar 1st Phase,106,RD5418073986316309,16.57,289.66,48.62,338.28000000000003,phonePy
auto,2024-07-16,04:58:20,cancelled,Victoria Layout,Indiranagar 4th Stage,42,RD2282069917509053,14.58,,,,
parcel,2024-07-03,13:22:20,completed,MG Road Symphony Theatre,Brigade Road Mota Royal Arcade,21,RD2101272070567465,25.04,220.54,8.07,228.60999999999999,Paytm
cab premium,2024-07-02,21:44:20,cancelled,HSR Layout Sector 3 South,Brigade Road Forum Mall,78,RD1414556963100639,18.64,,,,
bike,2024-06-25,16:20:20,cancelled,Nagarbhavi,Indiranagar 10th Stage,15,RD4515545339946906,33.68,,,,
cab economy,2024-07-08,04:49:20,completed,Jayanagar 5th Block,JP Nagar North,35,RD6533517599393746,39.66,974.13,18.56,992.6899999999999,Amazon Pay
parcel,2024-07-13,03:01:20,completed,Malleshwaram South,Queens Road,8,RD8710806420828347,49.25,94.71,12.29,107.0,GPay
bike lite,2024-07-22,01:29:20,cancelled,RT Nagar,JP Nagar Phase 9,54,RD8633978854177187,42.07,,,,
